playtime.raw,hit_rate,player_uid,match_uid,attack_type,role,name,hero_id,is_win,kills,deaths,assists,hero_damage,hero_healed,damage_taken
454,0.4586614173228346,603761221,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,Moizzzt,1020,1,16,4,20,8325.43436717987,12876.975205898283,7132.203879594803
283,0.3333333333333333,603761221,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,Moizzzt,1020,1,16,4,20,8325.43436717987,12876.975205898283,7132.203879594803
737,0.3091118800461361,954221022,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,Mythsiah,1023,1,6,2,29,3207.591067314148,21639.534641981125,4693.434325218201
283,0.4220183486238532,1646262973,5513301_1744482159_1245204_11001_12,Melee,VANGUARD,nght,1039,1,18,5,8,17786.27471923828,0.0,35342.48363220692
737,0.4581151832460733,791817921,5513301_1744482159_1245204_11001_12,Melee,STRATEGIST,MostDefinitely,1050,1,21,4,18,10569.03048157692,18901.69923901558,12863.049039244652
60,0.4415584415584415,1842396509,5513301_1744482159_1245204_11001_12,Hitscan,STRATEGIST,Sofonda_cox66,1038,0,15,10,1,20891.062171936035,1218.0441093444824,11838.714569091797
677,0.6055045871559633,1842396509,5513301_1744482159_1245204_11001_12,Melee,DUELIST,Sofonda_cox66,1038,0,15,10,1,20891.062171936035,1218.0441093444824,11838.714569091797
283,0.419753086419753,1306734986,5513301_1744482159_1245204_11001_12,Melee,STRATEGIST,clu3inc,1050,0,9,9,10,14459.03828907013,6441.555512428284,27480.555752515796
454,0.2549842602308499,1512586906,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,Ms Kobayashi,1031,0,6,7,17,6184.893944263458,24482.45057797432,7406.508973836899
92,0.4207650273224044,1512586906,5513301_1744482159_1245204_11001_12,Hitscan,STRATEGIST,Ms Kobayashi,1031,0,6,7,17,6184.893944263458,24482.45057797432,7406.508973836899
191,0.2777777777777778,1512586906,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,Ms Kobayashi,1031,0,6,7,17,6184.893944263458,24482.45057797432,7406.508973836899
45,0.5,124588384,5513301_1744482159_1245204_11001_12,Melee,VANGUARD,AceOfWake,1051,0,9,9,1,17509.342651367188,6.5,33113.08182811737
410,0.6023166023166023,124588384,5513301_1744482159_1245204_11001_12,Projectile,VANGUARD,AceOfWake,1051,0,9,9,1,17509.342651367188,6.5,33113.08182811737
66,0.59375,417524213,5513301_1744482159_1245204_11001_12,Projectile,STRATEGIST,jarvis clip da,1024,0,11,7,4,11095.968388676643,12196.902198076248,10528.942461013794
